tau,seed,factor,Q,ref_flow,util,obj_joint,obj_myopic,VoI,VoI_pct
2,0,0.4,15,38,2.533,493.0,493.0,0.0,0.0
2,1,0.4,15,39,2.6,803.0,808.0,5.0,0.62
2,2,0.4,18,45,2.5,832.0,832.0,0.0,0.0
2,3,0.4,16,41,2.562,700.0,700.0,0.0,0.0
2,4,0.4,15,39,2.6,791.0,812.0,21.0,2.59
2,5,0.4,13,34,2.615,642.0,642.0,0.0,0.0
2,6,0.4,13,34,2.615,720.0,720.0,0.0,0.0
2,8,0.4,18,46,2.556,847.0,847.0,0.0,0.0
2,9,0.4,11,29,2.636,737.0,737.0,0.0,0.0
2,0,0.45,17,38,2.235,484.0,484.0,0.0,0.0
2,1,0.45,17,39,2.294,765.0,765.0,0.0,0.0
2,2,0.45,20,45,2.25,778.0,778.0,0.0,0.0
2,3,0.45,18,41,2.278,694.0,694.0,0.0,0.0
2,4,0.45,17,39,2.294,732.0,732.0,0.0,0.0
2,5,0.45,15,34,2.267,617.0,642.0,25.0,3.89
2,6,0.45,15,34,2.267,663.0,670.0,7.0,1.04
2,7,0.45,12,27,2.25,617.0,617.0,0.0,0.0
2,8,0.45,20,46,2.3,760.0,760.0,0.0,0.0
2,9,0.45,13,29,2.231,686.0,699.0,13.0,1.86
2,0,0.5,19,38,2.0,463.0,463.0,0.0,0.0
2,1,0.5,19,39,2.053,729.0,758.0,29.0,3.83
2,2,0.5,22,45,2.045,773.0,802.0,29.0,3.62
2,3,0.5,20,41,2.05,643.0,670.0,27.0,4.03
2,4,0.5,19,39,2.053,689.0,689.0,0.0,0.0
2,5,0.5,17,34,2.0,612.0,619.0,7.0,1.13
2,6,0.5,17,34,2.0,604.0,604.0,0.0,0.0
2,7,0.5,13,27,2.077,581.0,581.0,0.0,0.0
2,8,0.5,23,46,2.0,728.0,728.0,0.0,0.0
2,9,0.5,14,29,2.071,678.0,678.0,0.0,0.0
2,0,0.55,20,38,1.9,463.0,463.0,0.0,0.0
2,1,0.55,21,39,1.857,691.0,691.0,0.0,0.0
2,2,0.55,24,45,1.875,773.0,773.0,0.0,0.0
2,3,0.55,22,41,1.864,592.0,592.0,0.0,0.0
2,4,0.55,21,39,1.857,682.0,682.0,0.0,0.0
2,5,0.55,18,34,1.889,609.0,609.0,0.0,0.0
2,6,0.55,18,34,1.889,590.0,590.0,0.0,0.0
2,7,0.55,14,27,1.929,561.0,561.0,0.0,0.0
2,8,0.55,25,46,1.84,708.0,728.0,20.0,2.75
2,9,0.55,15,29,1.933,665.0,673.0,8.0,1.19
2,0,0.6,22,38,1.727,430.0,430.0,0.0,0.0
2,1,0.6,23,39,1.696,684.0,684.0,0.0,0.0
2,2,0.6,27,45,1.667,737.0,737.0,0.0,0.0
2,3,0.6,24,41,1.708,586.0,586.0,0.0,0.0
2,4,0.6,23,39,1.696,643.0,643.0,0.0,0.0
2,5,0.6,20,34,1.7,578.0,604.0,26.0,4.3
2,6,0.6,20,34,1.7,558.0,585.0,27.0,4.62
2,7,0.6,16,27,1.688,541.0,541.0,0.0,0.0
2,8,0.6,27,46,1.704,701.0,728.0,27.0,3.71
2,9,0.6,17,29,1.706,621.0,673.0,52.0,7.73
2,0,0.7,26,38,1.462,427.0,427.0,0.0,0.0
2,1,0.7,27,39,1.444,657.0,657.0,0.0,0.0
2,2,0.7,31,45,1.452,701.0,701.0,0.0,0.0
2,3,0.7,28,41,1.464,586.0,586.0,0.0,0.0
2,4,0.7,27,39,1.444,639.0,643.0,4.0,0.62
2,5,0.7,23,34,1.478,565.0,565.0,0.0,0.0
2,6,0.7,23,34,1.478,541.0,541.0,0.0,0.0
2,7,0.7,18,27,1.5,474.0,474.0,0.0,0.0
2,8,0.7,32,46,1.438,701.0,716.0,15.0,2.09
2,9,0.7,20,29,1.45,621.0,653.0,32.0,4.9
2,0,0.85,32,38,1.188,427.0,427.0,0.0,0.0
2,1,0.85,33,39,1.182,657.0,657.0,0.0,0.0
2,2,0.85,38,45,1.184,701.0,701.0,0.0,0.0
2,3,0.85,34,41,1.206,581.0,581.0,0.0,0.0
2,4,0.85,33,39,1.182,613.0,613.0,0.0,0.0
2,5,0.85,28,34,1.214,565.0,565.0,0.0,0.0
2,6,0.85,28,34,1.214,541.0,541.0,0.0,0.0
2,7,0.85,22,27,1.227,474.0,474.0,0.0,0.0
2,8,0.85,39,46,1.179,681.0,681.0,0.0,0.0
2,9,0.85,24,29,1.208,618.0,646.0,28.0,4.33
2,0,1.0,38,38,1.0,427.0,427.0,0.0,0.0
2,1,1.0,39,39,1.0,657.0,657.0,0.0,0.0
2,2,1.0,45,45,1.0,701.0,701.0,0.0,0.0
2,3,1.0,41,41,1.0,581.0,581.0,0.0,0.0
2,4,1.0,39,39,1.0,613.0,613.0,0.0,0.0
2,5,1.0,34,34,1.0,565.0,565.0,0.0,0.0
2,6,1.0,34,34,1.0,541.0,541.0,0.0,0.0
2,7,1.0,27,27,1.0,469.0,474.0,5.0,1.05
2,8,1.0,46,46,1.0,681.0,681.0,0.0,0.0
2,9,1.0,29,29,1.0,615.0,615.0,0.0,0.0
3,0,0.4,14,36,2.571,790.0,790.0,0.0,0.0
3,1,0.4,14,35,2.5,1267.0,1279.0,12.0,0.94
3,3,0.4,17,43,2.529,1044.0,1045.0,1.0,0.1
3,4,0.4,13,34,2.615,1298.0,1298.0,0.0,0.0
3,5,0.4,14,36,2.571,1096.0,1098.0,2.0,0.18
3,6,0.4,16,40,2.5,1033.0,1033.0,0.0,0.0
3,8,0.4,19,48,2.526,1224.0,1225.0,1.0,0.08
3,9,0.4,12,31,2.583,1109.0,1121.0,12.0,1.07
3,0,0.45,16,36,2.25,762.0,773.0,11.0,1.42
3,1,0.45,15,35,2.333,1208.0,1257.0,49.0,3.9
3,2,0.45,16,37,2.312,1384.0,1478.0,94.0,6.36
3,3,0.45,19,43,2.263,970.0,974.0,4.0,0.41
3,4,0.45,15,34,2.267,1222.0,1222.0,0.0,0.0
3,5,0.45,16,36,2.25,1001.0,1029.0,28.0,2.72
3,6,0.45,18,40,2.222,1007.0,1013.0,6.0,0.59
