n,tau,seed,Q,mu,obj_joint,obj_myopic,VoI,VoI_pct,dist_joint,dist_myopic,R_joint,R_myopic,R_reduction,joint_status,regime
5,2,0,60,0,320,320,0,0.0,320,320,43,32,-11,Optimal,loose
5,2,1,60,0,552,552,0,0.0,552,552,40,25,-15,Optimal,loose
5,2,2,60,0,520,520,0,0.0,520,520,46,37,-9,Optimal,loose
5,2,3,60,0,426,426,0,0.0,426,426,50,34,-16,Optimal,loose
5,2,4,60,0,488,488,0,0.0,488,488,36,44,8,Optimal,loose
5,2,5,60,0,440,440,0,0.0,440,440,31,42,11,Optimal,loose
5,2,6,60,0,426,426,0,0.0,426,426,27,23,-4,Optimal,loose
5,2,7,60,0,344,344,0,0.0,344,344,28,26,-2,Optimal,loose
5,2,8,60,0,556,556,0,0.0,556,556,45,39,-6,Optimal,loose
5,2,9,60,0,516,516,0,0.0,516,516,24,38,14,Optimal,loose
5,2,10,60,0,312,312,0,0.0,312,312,43,38,-5,Optimal,loose
5,2,11,60,0,352,352,0,0.0,352,352,28,45,17,Optimal,loose
5,2,0,60,5,427,427,0,0.0,327,337,20,18,-2,Optimal,loose
5,2,1,60,5,657,657,0,0.0,567,567,18,18,0,Optimal,loose
5,2,2,60,5,701,701,0,0.0,521,531,36,34,-2,Optimal,loose
5,2,3,60,5,581,581,0,0.0,436,436,29,29,0,Optimal,loose
5,2,4,60,5,613,613,0,0.0,488,488,25,25,0,Optimal,loose
5,2,5,60,5,565,565,0,0.0,460,440,21,25,4,Optimal,loose
5,2,6,60,5,541,541,0,0.0,426,426,23,23,0,Optimal,loose
5,2,7,60,5,454,454,0,0.0,344,344,22,22,0,Optimal,loose
5,2,8,60,5,681,681,0,0.0,556,556,25,25,0,Optimal,loose
5,2,9,60,5,615,615,0,0.0,530,530,17,17,0,Optimal,loose
5,2,10,60,5,451,451,0,0.0,316,316,27,27,0,Optimal,loose
5,2,11,60,5,426,426,0,0.0,361,361,13,13,0,Optimal,loose
5,2,0,22,0,320,320,0,0.0,320,320,22,22,0,Optimal,tight
5,2,1,22,0,559,559,0,0.0,559,559,33,34,1,Optimal,tight
5,2,2,22,0,541,541,0,0.0,541,541,60,56,-4,Optimal,tight
5,2,3,22,0,447,476,29,6.49,447,476,29,47,18,Optimal,tight
5,2,4,22,0,517,517,0,0.0,517,517,43,43,0,Optimal,tight
5,2,5,22,0,440,449,9,2.05,440,449,25,40,15,Optimal,tight
5,2,6,22,0,426,440,14,3.29,426,440,23,39,16,Optimal,tight
5,2,7,22,0,344,371,27,7.85,344,371,27,49,22,Optimal,tight
5,2,8,22,0,556,556,0,0.0,556,556,35,35,0,Optimal,tight
5,2,9,22,0,516,516,0,0.0,516,516,21,21,0,Optimal,tight
5,2,10,22,0,323,323,0,0.0,323,323,45,46,1,Optimal,tight
5,2,11,22,0,358,363,5,1.4,358,363,29,47,18,Optimal,tight
5,2,0,22,5,430,430,0,0.0,320,320,22,22,0,Optimal,tight
5,2,1,22,5,691,694,3,0.43,596,564,19,26,7,Optimal,tight
5,2,2,22,5,773,802,29,3.75,543,552,46,50,4,Optimal,tight
5,2,3,22,5,592,592,0,0.0,447,447,29,29,0,Optimal,tight
5,2,4,22,5,677,677,0,0.0,517,517,32,32,0,Optimal,tight
5,2,5,22,5,565,565,0,0.0,450,440,23,25,2,Optimal,tight
5,2,6,22,5,541,541,0,0.0,426,426,23,23,0,Optimal,tight
5,2,7,22,5,474,474,0,0.0,344,344,26,26,0,Optimal,tight
5,2,8,22,5,728,728,0,0.0,568,568,32,32,0,Optimal,tight
5,2,9,22,5,618,646,28,4.53,538,531,16,23,7,Optimal,tight
5,2,10,22,5,463,512,49,10.58,338,332,25,36,11,Optimal,tight
5,2,11,22,5,426,426,0,0.0,361,361,13,13,0,Optimal,tight
