n,tau,seed,Q,mu,obj_joint,obj_myopic,VoI,VoI_pct
8,3,0,44,5,1317,1391.0,74.0,5.32
8,3,1,44,5,1943,1948.0,5.0,0.26
8,3,2,44,5,1894,1901.0,7.0,0.37
8,3,3,44,5,1697,1857.0,160.0,8.62
8,3,4,44,5,1890,1898.0,8.0,0.42
8,3,5,44,5,1815,1823.0,8.0,0.44
10,3,0,67,5,1965,1965.0,0.0,0.0
10,3,1,67,5,2536,2536.0,0.0,0.0
10,3,2,67,5,2337,2376.0,39.0,1.64
10,3,3,67,5,2635,2635.0,0.0,0.0
10,3,4,67,5,2732,2732.0,0.0,0.0
10,3,5,67,5,2692,2700.0,8.0,0.3
12,3,0,94,5,2606,2668.0,62.0,2.32
12,3,1,94,5,3188,3313.0,125.0,3.77
12,3,2,94,5,3252,3252.0,0.0,0.0
12,3,3,94,5,3234,3285.0,51.0,1.55
12,3,4,94,5,3307,3316.0,9.0,0.27
12,3,5,94,5,3626,3626.0,0.0,0.0
15,3,0,151,5,3633,3635.0,2.0,0.06
15,3,1,151,5,4400,4400.0,0.0,0.0
15,3,2,151,5,4187,4240.0,53.0,1.25
15,3,3,151,5,4767,4767.0,0.0,0.0
15,3,4,151,5,4534,4551.0,17.0,0.37
15,3,5,151,5,4932,4932.0,0.0,0.0
20,3,0,283,5,6084,6114.0,30.0,0.49
20,3,1,283,5,7422,7422.0,0.0,0.0
20,3,2,283,5,6727,6727.0,0.0,0.0
20,3,3,283,5,6691,6768.0,77.0,1.14
20,3,4,283,5,7709,7709.0,0.0,0.0
20,3,5,283,5,7458,7458.0,0.0,0.0
